name,date,fight_id,win/loss,method,body,body_attempts,clinch,clinch_attempts,distance,distance_attempts,ground,ground_attempts,head,head_attempts,knockdowns,leg,leg_attempts,location,pass,referee,reversals,round,sig_attempts,sig_strikes,strike_attempts,strikes,sub_attempts,takedowns,td_attempts,title
Niko Price,"August 05, 2017",45,W,KO/TKO,1,1,0,0,6,13,4,6,6,15,1,3,3,"Mexico City, Distrito Federal, Mexico",1,Gary Copeland,0,1,19,10,19,10,0,0,0,UFC Fight Night: Pettis vs. Moreno
Martin Bravo,"August 05, 2017",46,L,KO/TKO,1,1,0,0,1,3,0,0,0,1,0,0,1,"Mexico City, Distrito Federal, Mexico",0,Jerin Valel,0,1,3,1,3,1,0,0,0,UFC Fight Night: Pettis vs. Moreno
Humberto Bandenay,"August 05, 2017",46,W,KO/TKO,1,1,0,0,3,5,2,2,3,5,1,1,1,"Mexico City, Distrito Federal, Mexico",0,Jerin Valel,0,1,7,5,7,5,0,0,0,UFC Fight Night: Pettis vs. Moreno
Sam Alvey,"August 05, 2017",47,W,Decision,16,18,20,25,20,62,0,0,24,69,0,0,0,"Mexico City, Distrito Federal, Mexico",0,John McCarthy,0,3,87,40,99,51,0,0,0,UFC Fight Night: Pettis vs. Moreno
Rashad Evans,"August 05, 2017",47,L,Decision,5,9,2,2,15,43,0,0,8,32,0,4,4,"Mexico City, Distrito Federal, Mexico",0,John McCarthy,0,3,45,17,58,28,0,2,8,UFC Fight Night: Pettis vs. Moreno
Alejandro Perez,"August 05, 2017",48,W,Decision,6,9,3,7,38,128,3,6,22,107,0,16,25,"Mexico City, Distrito Federal, Mexico",1,Kevin MacDonald,0,3,141,44,195,97,0,1,6,UFC Fight Night: Pettis vs. Moreno
Andre Soukhamthath,"August 05, 2017",48,L,Decision,9,11,1,5,42,102,0,0,26,86,3,8,10,"Mexico City, Distrito Federal, Mexico",0,Kevin MacDonald,0,3,107,43,108,44,0,0,0,UFC Fight Night: Pettis vs. Moreno
Bradley Scott,"August 05, 2017",49,L,KO/TKO,0,1,0,0,0,4,0,0,0,3,0,0,0,"Mexico City, Distrito Federal, Mexico",0,Bladimir Puga,0,1,4,0,4,0,1,0,0,UFC Fight Night: Pettis vs. Moreno
Jack Hermansson,"August 05, 2017",49,W,KO/TKO,0,1,0,0,4,6,34,48,35,49,0,3,4,"Mexico City, Distrito Federal, Mexico",2,Bladimir Puga,0,1,54,38,65,49,0,1,1,UFC Fight Night: Pettis vs. Moreno
Dustin Ortiz,"August 05, 2017",50,W,KO/TKO,1,1,0,0,4,6,4,4,7,9,1,0,0,"Mexico City, Distrito Federal, Mexico",0,Jerin Valel,0,1,10,8,10,8,0,0,0,UFC Fight Night: Pettis vs. Moreno
Hector Sandoval,"August 05, 2017",50,L,KO/TKO,0,0,0,0,1,6,0,0,1,6,0,0,0,"Mexico City, Distrito Federal, Mexico",0,Jerin Valel,0,1,6,1,6,1,0,0,0,UFC Fight Night: Pettis vs. Moreno
Henry Briones,"August 05, 2017",51,L,Submission,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mexico City, Distrito Federal, Mexico",0,Kevin MacDonald,0,1,0,0,10,9,0,0,0,UFC Fight Night: Pettis vs. Moreno
Rani Yahya,"August 05, 2017",51,W,Submission,0,0,0,0,2,3,1,1,1,2,0,2,2,"Mexico City, Distrito Federal, Mexico",2,Kevin MacDonald,0,1,4,3,15,14,2,1,2,UFC Fight Night: Pettis vs. Moreno
Jose Quinonez,"August 05, 2017",52,W,Decision,11,17,1,4,48,92,10,16,34,81,0,14,14,"Mexico City, Distrito Federal, Mexico",2,John McCarthy,0,3,112,59,125,70,0,1,4,UFC Fight Night: Pettis vs. Moreno
