body,body_attempts,clinch,clinch_attempts,date,distance,distance_attempts,fight_id,ground,ground_attempts,head,head_attempts,kd,leg,leg_attempts,location,method,name,pass,referee,reversals,round,sig_attempts,sig_strikes,strike_attempts,strikes,sub_attempts,takedowns,td_attempts,title,win/loss
8,10,8,11,"September 02, 2017",25,41,40,12,13,34,52,0,3,3,"Rotterdam, Zuid-Holland, Netherlands",Submission,ERROR,2,Leon Roberts,2,2,65,45,97,70,2,1,3,UFC Fight Night: Volkov vs. Struve,ERROR
0,1,0,1,"September 02, 2017",1,11,41,0,1,1,12,0,0,0,"Rotterdam, Zuid-Holland, Netherlands",KO/TKO,ERROR,0,Kevin Sataki,0,2,13,1,21,7,0,0,0,UFC Fight Night: Volkov vs. Struve,ERROR
16,17,6,12,"September 02, 2017",9,22,41,62,91,59,105,0,2,3,"Rotterdam, Zuid-Holland, Netherlands",KO/TKO,ERROR,0,Kevin Sataki,0,2,125,77,210,150,1,2,2,UFC Fight Night: Volkov vs. Struve,ERROR
3,6,13,24,"September 02, 2017",24,54,42,4,8,37,77,1,1,3,"Rotterdam, Zuid-Holland, Netherlands",KO/TKO,ERROR,0,Neil Hall,0,1,86,41,88,43,0,0,0,UFC Fight Night: Volkov vs. Struve,ERROR
6,12,3,5,"September 02, 2017",19,49,42,0,0,14,39,0,2,3,"Rotterdam, Zuid-Holland, Netherlands",KO/TKO,ERROR,0,Neil Hall,0,1,54,22,54,22,0,0,6,UFC Fight Night: Volkov vs. Struve,ERROR
11,17,2,2,"August 05, 2017",72,230,43,2,3,55,203,0,10,15,"Mexico City, Distrito Federal, Mexico",Decision,ERROR,0,John McCarthy,0,5,235,76,244,84,0,0,1,UFC Fight Night: Pettis vs. Moreno,ERROR
12,19,1,4,"August 05, 2017",38,147,43,6,10,26,130,0,7,12,"Mexico City, Distrito Federal, Mexico",Decision,ERROR,1,John McCarthy,0,5,161,45,193,70,0,4,8,UFC Fight Night: Pettis vs. Moreno,ERROR
5,7,6,9,"August 05, 2017",29,91,44,10,13,40,106,0,0,0,"Mexico City, Distrito Federal, Mexico",Decision,ERROR,5,Jerin Valel,1,3,113,45,141,71,0,4,11,UFC Fight Night: Pettis vs. Moreno,ERROR
7,10,13,16,"August 05, 2017",47,137,44,4,4,44,133,0,13,14,"Mexico City, Distrito Federal, Mexico",Decision,ERROR,1,Jerin Valel,1,3,157,64,224,121,0,0,0,UFC Fight Night: Pettis vs. Moreno,ERROR
1,1,0,0,"August 05, 2017",5,9,45,0,0,3,7,0,1,1,"Mexico City, Distrito Federal, Mexico",KO/TKO,ERROR,0,Gary Copeland,0,1,9,5,9,5,0,0,0,UFC Fight Night: Pettis vs. Moreno,ERROR
1,1,0,0,"August 05, 2017",6,13,45,4,6,6,15,1,3,3,"Mexico City, Distrito Federal, Mexico",KO/TKO,ERROR,1,Gary Copeland,0,1,19,10,19,10,0,0,0,UFC Fight Night: Pettis vs. Moreno,ERROR
1,1,0,0,"August 05, 2017",1,3,46,0,0,0,1,0,0,1,"Mexico City, Distrito Federal, Mexico",KO/TKO,ERROR,0,Jerin Valel,0,1,3,1,3,1,0,0,0,UFC Fight Night: Pettis vs. Moreno,ERROR
1,1,0,0,"August 05, 2017",3,5,46,2,2,3,5,1,1,1,"Mexico City, Distrito Federal, Mexico",KO/TKO,ERROR,0,Jerin Valel,0,1,7,5,7,5,0,0,0,UFC Fight Night: Pettis vs. Moreno,ERROR
16,18,20,25,"August 05, 2017",20,62,47,0,0,24,69,0,0,0,"Mexico City, Distrito Federal, Mexico",Decision,ERROR,0,John McCarthy,0,3,87,40,99,51,0,0,0,UFC Fight Night: Pettis vs. Moreno,ERROR
5,9,2,2,"August 05, 2017",15,43,47,0,0,8,32,0,4,4,"Mexico City, Distrito Federal, Mexico",Decision,ERROR,0,John McCarthy,0,3,45,17,58,28,0,2,8,UFC Fight Night: Pettis vs. Moreno,ERROR
6,9,3,7,"August 05, 2017",38,128,48,3,6,22,107,0,16,25,"Mexico City, Distrito Federal, Mexico",Decision,ERROR,1,Kevin MacDonald,0,3,141,44,195,97,0,1,6,UFC Fight Night: Pettis vs. Moreno,ERROR
9,11,1,5,"August 05, 2017",42,102,48,0,0,26,86,3,8,10,"Mexico City, Distrito Federal, Mexico",Decision,ERROR,0,Kevin MacDonald,0,3,107,43,108,44,0,0,0,UFC Fight Night: Pettis vs. Moreno,ERROR
0,1,0,0,"August 05, 2017",0,4,49,0,0,0,3,0,0,0,"Mexico City, Distrito Federal, Mexico",KO/TKO,ERROR,0,Bladimir Puga,0,1,4,0,4,0,1,0,0,UFC Fight Night: Pettis vs. Moreno,ERROR
0,1,0,0,"August 05, 2017",4,6,49,34,48,35,49,0,3,4,"Mexico City, Distrito Federal, Mexico",KO/TKO,ERROR,2,Bladimir Puga,0,1,54,38,65,49,0,1,1,UFC Fight Night: Pettis vs. Moreno,ERROR
