title,link,date,location
UFC 212: Aldo vs. Holloway,http://www.fightmetric.com/fight-details/6486579eee778b4d,"June 03, 2017","Rio de Janeiro, Rio de Janeiro, Brazil"
UFC Fight Night: Gustafsson vs. Teixeira,http://www.fightmetric.com/fight-details/923d5041c3b6d763,"May 28, 2017","Stockholm, Sweden"
UFC Fight Night: Gustafsson vs. Teixeira,http://www.fightmetric.com/fight-details/79be3a6d483ad64a,"May 28, 2017","Stockholm, Sweden"
UFC Fight Night: Gustafsson vs. Teixeira,http://www.fightmetric.com/fight-details/8cdc9c13d75adb28,"May 28, 2017","Stockholm, Sweden"
UFC Fight Night: Gustafsson vs. Teixeira,http://www.fightmetric.com/fight-details/78e38f1ad43c3479,"May 28, 2017","Stockholm, Sweden"
UFC Fight Night: Gustafsson vs. Teixeira,http://www.fightmetric.com/fight-details/33913e8e56c49a4c,"May 28, 2017","Stockholm, Sweden"
UFC Fight Night: Gustafsson vs. Teixeira,http://www.fightmetric.com/fight-details/2105210529457ffd,"May 28, 2017","Stockholm, Sweden"
UFC Fight Night: Gustafsson vs. Teixeira,http://www.fightmetric.com/fight-details/9674c37e3a2bc399,"May 28, 2017","Stockholm, Sweden"
UFC Fight Night: Gustafsson vs. Teixeira,http://www.fightmetric.com/fight-details/ac6cb989ccc38f73,"May 28, 2017","Stockholm, Sweden"
UFC Fight Night: Gustafsson vs. Teixeira,http://www.fightmetric.com/fight-details/2c101a0bcf334d31,"May 28, 2017","Stockholm, Sweden"
UFC Fight Night: Gustafsson vs. Teixeira,http://www.fightmetric.com/fight-details/9c3f3bc7f7472e0c,"May 28, 2017","Stockholm, Sweden"
UFC Fight Night: Gustafsson vs. Teixeira,http://www.fightmetric.com/fight-details/1ed9dbbe604654b9,"May 28, 2017","Stockholm, Sweden"
UFC Fight Night: Gustafsson vs. Teixeira,http://www.fightmetric.com/fight-details/b166f1582946fbbc,"May 28, 2017","Stockholm, Sweden"
UFC 211: Miocic vs. Dos Santos,http://www.fightmetric.com/fight-details/16a0352f3e19b931,"May 13, 2017","Dallas, Texas, USA"
UFC 211: Miocic vs. Dos Santos,http://www.fightmetric.com/fight-details/0fd8214ac276728e,"May 13, 2017","Dallas, Texas, USA"
UFC 211: Miocic vs. Dos Santos,http://www.fightmetric.com/fight-details/6e3139f066149a81,"May 13, 2017","Dallas, Texas, USA"
UFC 211: Miocic vs. Dos Santos,http://www.fightmetric.com/fight-details/39f746cee66e8771,"May 13, 2017","Dallas, Texas, USA"
UFC 211: Miocic vs. Dos Santos,http://www.fightmetric.com/fight-details/362a5b3cd4a70330,"May 13, 2017","Dallas, Texas, USA"
UFC 211: Miocic vs. Dos Santos,http://www.fightmetric.com/fight-details/6fe9729cee57c680,"May 13, 2017","Dallas, Texas, USA"
UFC 211: Miocic vs. Dos Santos,http://www.fightmetric.com/fight-details/9882c1dac77c0367,"May 13, 2017","Dallas, Texas, USA"
UFC 211: Miocic vs. Dos Santos,http://www.fightmetric.com/fight-details/f26657d5018ee428,"May 13, 2017","Dallas, Texas, USA"
UFC 211: Miocic vs. Dos Santos,http://www.fightmetric.com/fight-details/567cefcaba821205,"May 13, 2017","Dallas, Texas, USA"
UFC 211: Miocic vs. Dos Santos,http://www.fightmetric.com/fight-details/af2ef75664656957,"May 13, 2017","Dallas, Texas, USA"
UFC 211: Miocic vs. Dos Santos,http://www.fightmetric.com/fight-details/7188621a628e718d,"May 13, 2017","Dallas, Texas, USA"
UFC 211: Miocic vs. Dos Santos,http://www.fightmetric.com/fight-details/14dbcdbe8e7251bf,"May 13, 2017","Dallas, Texas, USA"
UFC Fight Night: Swanson vs. Lobov,http://www.fightmetric.com/fight-details/b29ed164b3014a42,"April 22, 2017","Nashville, Tennessee, USA"
